Model_Names,Recall_Scores,Percentages
Logistic Regression,0.9090909090909091,90.9090909090909
K Neighbors,0.9545454545454546,95.45454545454545
SVC,0.8636363636363636,86.36363636363636
Random Forest,0.9090909090909091,90.9090909090909
Decision Tree,0.7727272727272727,77.27272727272727
